date,NormalIC,NormalIR,RankIC,RankIR,FacRtn,RtnIR,number
2006-12-18,,,,,,,1
2006-12-19,,,,,,,1
2006-12-20,,,,,,,1
2006-12-21,,,,,,,1
2006-12-22,,,,,,,1
2006-12-25,,,,,,,1
2006-12-26,,,,,,,1
2006-12-27,,,,,,,1
2006-12-28,,,,,,,1
2006-12-29,,,,,,,1
2007-01-04,,,,,,,1
2007-01-05,,,,,,,1
2007-01-08,,,,,,,1
2007-01-09,,,,,,,1
2007-01-10,,,,,,,1
2007-01-11,,,,,,,1
2007-01-12,,,,,,,1
2007-01-15,,,,,,,1
2007-01-16,,,,,,,1
2007-01-17,,,,,,,1
2007-01-18,,,,,,,1
2007-01-19,,,,,,,1
2007-01-22,,,,,,,1
2007-01-23,,,,,,,1
2007-01-24,,,,,,,1
2007-01-25,,,,,,,1
2007-01-26,,,,,,,1
2007-01-29,,,,,,,1
2007-01-30,,,,,,,1
2007-01-31,,,,,,,1
2007-02-01,,,,,,,1
2007-02-02,,,,,,,1
2007-02-05,,,,,,,1
2007-02-06,,,,,,,1
2007-02-07,,,,,,,1
2007-02-08,,,,,,,1
2007-02-09,,,,,,,1
2007-02-12,,,,,,,1
2007-02-13,,,,,,,1
2007-02-14,,,,,,,1
2007-02-15,,,,,,,1
2007-02-16,,,,,,,1
2007-02-26,,,,,,,1
2007-02-27,,,,,,,1
2007-02-28,,,,,,,1
2007-03-01,,,,,,,1
2007-03-02,,,,,,,1
2007-03-05,,,,,,,1
2007-03-06,,,,,,,1
2007-03-07,,,,,,,1
2007-03-08,,,,,,,1
2007-03-09,,,,,,,1
2007-03-12,,,,,,,1
2007-03-13,,,,,,,1
2007-03-14,,,,,,,1
2007-03-15,,,,,,,1
2007-03-16,,,,,,,1
2007-03-19,,,,,,,1
2007-03-20,,,,,,,1
2007-03-21,,,,,,,1
2007-03-22,,,,,,,1
2007-03-23,,,,,,,1
2007-03-26,,,,,,,1
2007-03-27,,,,,,,1
2007-03-28,,,,,,,1
2007-03-29,,,,,,,1
2007-03-30,,,,,,,1
2007-04-02,,,,,,,1
2007-04-03,,,,,,,1
2007-04-04,,,,,,,1
2007-04-05,,,,,,,1
2007-04-06,,,,,,,1
2007-04-09,,,,,,,1
2007-04-10,,,,,,,1
2007-04-11,,,,,,,1
2007-04-12,,,,,,,1
2007-04-13,,,,,,,1
2007-04-16,,,,,,,1
2007-04-17,,,,,,,1
2007-04-18,,,,,,,1
2007-04-19,,,,,,,1
2007-04-20,,,,,,,1
2007-04-23,,,,,,,1
2007-04-24,,,,,,,1
2007-04-25,,,,,,,1
2007-04-26,,,,,,,1
2007-04-27,,,,,,,1
2007-04-30,,,,,,,1
2007-05-08,,,,,,,1
2007-05-09,,,,,,,1
2007-05-10,,,,,,,1
2007-05-11,,,,,,,1
2007-05-14,,,,,,,1
2007-05-15,,,,,,,1
2007-05-16,,,,,,,1
2007-05-17,,,,,,,1
2007-05-18,,,,,,,1
2007-05-21,,,,,,,1
2007-05-22,,,,,,,1
2007-05-23,,,,,,,1
2007-05-24,,,,,,,1
2007-05-25,,,,,,,1
2007-05-28,,,,,,,1
2007-05-29,,,,,,,1
2007-05-30,,,,,,,1
2007-05-31,,,,,,,1
2007-06-01,,,,,,,1
2007-06-04,,,,,,,1
2007-06-05,,,,,,,1
2007-06-06,,,,,,,1
2007-06-07,,,,,,,1
2007-06-08,,,,,,,1
2007-06-11,,,,,,,1
2007-06-12,,,,,,,1
2007-06-13,,,,,,,1
2007-06-14,,,,,,,1
2007-06-15,,,,,,,1
2007-06-18,,,,,,,1
2007-06-19,,,,,,,1
2007-06-20,,,,,,,1
2007-06-21,,,,,,,1
2007-06-22,,,,,,,1
2007-06-25,,,,,,,1
2007-06-26,,,,,,,1
2007-06-27,,,,,,,1
2007-06-28,,,,,,,1
2007-06-29,,,,,,,1
2007-07-02,,,,,,,1
2007-07-03,,,,,,,1
2007-07-04,,,,,,,1
2007-07-05,,,,,,,1
2007-07-06,,,,,,,1
2007-07-09,,,,,,,1
2007-07-10,,,,,,,1
2007-07-11,,,,,,,1
2007-07-12,,,,,,,1
2007-07-13,,,,,,,1
2007-07-16,,,,,,,1
2007-07-17,,,,,,,1
2007-07-18,,,,,,,1
2007-07-19,,,,,,,1
2007-07-20,,,,,,,1
2007-07-23,,,,,,,1
2007-07-24,,,,,,,1
2007-07-25,,,,,,,1
2007-07-26,,,,,,,1
2007-07-27,,,,,,,1
2007-07-30,,,,,,,1
2007-07-31,,,,,,,2
2007-08-01,,,,,,,2
2007-08-02,,,,,,,2
2007-08-03,,,,,,,2
2007-08-06,,,,,,,2
2007-08-07,,,,,,,2
2007-08-08,,,,,,,2
2007-08-09,,,,,,,2
2007-08-10,,,,,,,2
2007-08-13,,,,,,,2
2007-08-14,,,,,,,2
2007-08-15,,,,,,,2
2007-08-16,,,,,,,2
2007-08-17,,,,,,,2
2007-08-20,,,,,,,2
2007-08-21,-1.0,,-0.9999999999999998,,,,2
2007-08-22,-0.9999999999999999,,-0.9999999999999998,,,,2
2007-08-23,-0.9999999999999999,,-0.9999999999999998,,,,2
2007-08-24,1.0,,0.9999999999999998,,,,2
2007-08-27,-0.9999999999999999,,-0.9999999999999998,,,,2
2007-08-28,-1.0,,-0.9999999999999998,,,,2
2007-08-29,-1.0,,-0.9999999999999998,,,,2
2007-08-30,1.0,,0.9999999999999998,,,,2
2007-08-31,1.0,,0.9999999999999998,,,,2
2007-09-03,1.0,,0.9999999999999998,,,,2
2007-09-04,-1.0,,-0.9999999999999998,,,,2
2007-09-05,-1.0,,-0.9999999999999998,,,,2
2007-09-06,0.9999999999999998,,0.9999999999999998,,,,2
2007-09-07,-0.9999999999999999,,-0.9999999999999998,,,,2
2007-09-10,1.0,,0.9999999999999998,,,,2
2007-09-11,-1.0,,-0.9999999999999998,,,,2
2007-09-12,-1.0,,-0.9999999999999998,,,,2
2007-09-13,1.0,,0.9999999999999998,,,,2
2007-09-14,1.0,,0.9999999999999998,,,,2
2007-09-17,-1.0,,-0.9999999999999998,,,,2
2007-09-18,1.0,,0.9999999999999998,,,,2
2007-09-19,1.0,,0.9999999999999998,,,,2
2007-09-20,-1.0,,-0.9999999999999998,,,,2
2007-09-21,1.0,,0.9999999999999998,,,,2
2007-09-24,1.0,,0.9999999999999998,,,,2
2007-09-25,1.0,,0.9999999999999998,,,,2
2007-09-26,-1.0,,-0.9999999999999998,,,,2
2007-09-27,1.0,,0.9999999999999998,,,,2
2007-09-28,0.9999999999999998,,0.9999999999999998,,,,2
2007-10-08,-1.0,,-0.9999999999999998,,,,2
2007-10-09,0.9999999999999999,,0.9999999999999998,,,,2
2007-10-10,0.9999999999999999,,0.9999999999999998,,,,2
2007-10-11,-1.0,,-0.9999999999999998,,,,2
2007-10-12,1.0,,0.9999999999999998,,,,2
2007-10-15,-0.9999999999999999,,-0.9999999999999998,,,,2
2007-10-16,1.0,,0.9999999999999998,,,,2
2007-10-17,1.0,,0.9999999999999998,,,,2
2007-10-18,-1.0,,-0.9999999999999998,,,,2
2007-10-19,1.0000000000000002,,0.9999999999999998,,,,2
2007-10-22,1.0,,0.9999999999999998,,,,2
2007-10-23,-1.0,,-0.9999999999999998,,,,2
2007-10-24,1.0000000000000002,,0.9999999999999998,,,,2
2007-10-25,1.0,,0.9999999999999998,,,,2
2007-10-26,1.0000000000000002,,0.9999999999999998,,,,2
2007-10-29,0.9999999999999999,,0.9999999999999998,,,,2
2007-10-30,-0.9999999999999999,,-0.9999999999999998,,,,2
2007-10-31,-0.9999999999999999,,-0.9999999999999998,,,,2
2007-11-01,0.9999999999999999,,0.9999999999999998,,,,2
2007-11-02,1.0,,0.9999999999999998,,,,2
2007-11-05,1.0,,0.9999999999999998,,,,2
2007-11-06,-0.9999999999999999,,-0.9999999999999998,,,,2
2007-11-07,1.0,,0.9999999999999998,,,,2
2007-11-08,-0.9999999999999999,,-0.9999999999999998,,,,2
2007-11-09,0.9999999999999998,,0.9999999999999998,,,,2
2007-11-12,-1.0,,-0.9999999999999998,,,,2
2007-11-13,0.9999999999999999,,0.9999999999999998,,,,2
2007-11-14,-1.0,,-0.9999999999999998,,,,2
2007-11-15,1.0,,0.9999999999999998,,,,2
2007-11-16,1.0,,0.9999999999999998,,,,2
2007-11-19,-0.9999999999999999,0.1334087267989755,-0.9999999999999998,0.13340872679897547,,,2
2007-11-20,-1.0000000000000002,0.1334087267989755,-0.9999999999999998,0.13340872679897547,,,2
2007-11-21,-1.0,0.1334087267989755,-0.9999999999999998,0.13340872679897547,,,2
2007-11-22,-1.0,0.1334087267989755,-0.9999999999999998,0.13340872679897547,,,2
2007-11-23,-1.0000000000000002,0.09966273091110807,-0.9999999999999998,0.09966273091110803,,,2
2007-11-26,1.0,0.1334087267989755,0.9999999999999998,0.13340872679897547,,,2
2007-11-27,1.0000000000000002,0.16761634196950514,0.9999999999999998,0.16761634196950514,,,2
2007-11-28,-1.0,0.16761634196950514,-0.9999999999999998,0.16761634196950514,,,2
2007-11-29,-1.0,0.1334087267989755,-0.9999999999999998,0.13340872679897547,,,2
2007-11-30,-1.0000000000000002,0.09966273091110807,-0.9999999999999998,0.09966273091110803,,,2
2007-12-03,-1.0000000000000002,0.06625617671116371,-0.9999999999999998,0.06625617671116368,,,2
2007-12-04,-1.0,0.06625617671116371,-0.9999999999999998,0.06625617671116368,,,2
2007-12-05,1.0000000000000002,0.09966273091110807,0.9999999999999998,0.09966273091110803,,,2
2007-12-06,1.0000000000000002,0.09966273091110807,0.9999999999999998,0.09966273091110803,,,2
2007-12-07,-1.0,0.09966273091110807,-0.9999999999999998,0.09966273091110803,,,2
2007-12-10,-1.0000000000000002,0.06625617671116371,-0.9999999999999998,0.06625617671116368,,,2
2007-12-11,1.0000000000000002,0.09966273091110807,0.9999999999999998,0.09966273091110803,,,2
2007-12-12,1.0,0.1334087267989755,0.9999999999999998,0.13340872679897547,,,2
2007-12-13,-1.0,0.09966273091110807,-0.9999999999999998,0.09966273091110803,,,2
2007-12-14,1.0,0.09966273091110807,0.9999999999999998,0.09966273091110803,,,2
2007-12-17,1.0000000000000002,0.1334087267989755,0.9999999999999998,0.13340872679897547,,,2
2007-12-18,-1.0,0.09966273091110807,-0.9999999999999998,0.09966273091110803,,,2
2007-12-19,1.0,0.09966273091110807,0.9999999999999998,0.09966273091110803,,,2
2007-12-20,-1.0,0.09966273091110807,-0.9999999999999998,0.09966273091110803,,,2
2007-12-21,-1.0,0.06625617671116371,-0.9999999999999998,0.06625617671116368,,,2
2007-12-24,-1.0,0.033072767267682726,-0.9999999999999998,0.033072767267682705,,,2
2007-12-25,1.0,0.033072767267682726,0.9999999999999998,0.033072767267682705,,,2
2007-12-26,0.9999999999999999,0.06625617671116371,0.9999999999999998,0.06625617671116368,,,2
2007-12-27,-1.0,0.033072767267682726,-0.9999999999999998,0.033072767267682705,,,2
2007-12-28,0.9999999999999999,0.033072767267682726,0.9999999999999998,0.033072767267682705,,,2
2008-01-02,1.0,0.06625617671116371,0.9999999999999998,0.06625617671116368,,,2
2008-01-03,1.0,0.06625617671116371,0.9999999999999998,0.06625617671116368,,,2
2008-01-04,1.0,0.06625617671116371,0.9999999999999998,0.06625617671116368,,,2
2008-01-07,-1.0,0.06625617671116371,-0.9999999999999998,0.06625617671116368,,,2
2008-01-08,-1.0,0.033072767267682726,-0.9999999999999998,0.033072767267682705,,,2
2008-01-09,1.0,0.06625617671116371,0.9999999999999998,0.06625617671116368,,,2
2008-01-10,1.0,0.06625617671116371,0.9999999999999998,0.06625617671116368,,,2
2008-01-11,0.9999999999999999,0.06625617671116371,0.9999999999999998,0.06625617671116368,,,2
2008-01-14,1.0,0.09966273091110807,0.9999999999999998,0.09966273091110803,,,2
2008-01-15,-1.0,0.06625617671116371,-0.9999999999999998,0.06625617671116368,,,2
2008-01-16,1.0,0.06625617671116371,0.9999999999999998,0.06625617671116368,,,2
2008-01-17,-1.0,0.06625617671116371,-0.9999999999999998,0.06625617671116368,,,2
2008-01-18,-1.0000000000000002,0.033072767267682726,-0.9999999999999998,0.033072767267682705,,,2
2008-01-21,-1.0,-3.669774306817034e-18,-0.9999999999999998,-1.8348871534085176e-17,,,2
2008-01-22,1.0,-7.339548613634069e-18,0.9999999999999998,-1.8348871534085176e-17,,,2
2008-01-23,-1.0000000000000002,-0.03307276726768273,-0.9999999999999998,-0.03307276726768275,,,2
